
CATCHMENT,NETWORK,YEAR,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
New York,EIP,2020,2020,10,50-64 yr,0,0
New York,EIP,2020,2020,11,50-64 yr,0.4,0.4
New York,EIP,2020,2020,12,50-64 yr,3.3,2.8
New York,EIP,2020,2020,13,50-64 yr,11.3,8.1
New York,EIP,2020,2020,14,50-64 yr,26.1,14.8
New York,EIP,2020,2020,15,50-64 yr,34.2,8.1
New York,EIP,2020,2020,16,50-64 yr,null,null
New York,EIP,2020,2020,17,50-64 yr,null,null
New York,EIP,2020,2020,18,50-64 yr,null,null
New York,EIP,2020,2020,19,50-64 yr,null,null
New York,EIP,2020,2020,20,50-64 yr,null,null
New York,EIP,2020,2020,21,50-64 yr,null,null
New York,EIP,2020,2020,22,50-64 yr,null,null
New York,EIP,2020,2020,23,50-64 yr,null,null
New York,EIP,2020,2020,24,50-64 yr,null,null
New York,EIP,2020,2020,25,50-64 yr,null,null
New York,EIP,2020,2020,26,50-64 yr,null,null
New York,EIP,2020,2020,27,50-64 yr,null,null
New York,EIP,2020,2020,28,50-64 yr,null,null
New York,EIP,2020,2020,29,50-64 yr,null,null
New York,EIP,2020,2020,30,50-64 yr,null,null
New York,EIP,2020,2020,31,50-64 yr,null,null
New York,EIP,2020,2020,32,50-64 yr,null,null
New York,EIP,2020,2020,33,50-64 yr,null,null
New York,EIP,2020,2020,34,50-64 yr,null,null
New York,EIP,2020,2020,35,50-64 yr,null,null
New York,EIP,2020,2020,36,50-64 yr,null,null
New York,EIP,2020,2020,37,50-64 yr,null,null
New York,EIP,2020,2020,38,50-64 yr,null,null
New York,EIP,2020,2020,39,50-64 yr,null,null
New York,EIP,2020,2020,10,65+ yr,0.3,0.3
New York,EIP,2020,2020,11,65+ yr,2.8,2.6
New York,EIP,2020,2020,12,65+ yr,10.3,7.4
New York,EIP,2020,2020,13,65+ yr,28.7,18.5
New York,EIP,2020,2020,14,65+ yr,51.1,22.3
New York,EIP,2020,2020,15,65+ yr,68,16.9
New York,EIP,2020,2020,16,65+ yr,null,null
New York,EIP,2020,2020,17,65+ yr,null,null
New York,EIP,2020,2020,18,65+ yr,null,null
New York,EIP,2020,2020,19,65+ yr,null,null
New York,EIP,2020,2020,20,65+ yr,null,null
New York,EIP,2020,2020,21,65+ yr,null,null
New York,EIP,2020,2020,22,65+ yr,null,null
New York,EIP,2020,2020,23,65+ yr,null,null
New York,EIP,2020,2020,24,65+ yr,null,null
New York,EIP,2020,2020,25,65+ yr,null,null
New York,EIP,2020,2020,26,65+ yr,null,null
New York,EIP,2020,2020,27,65+ yr,null,null
New York,EIP,2020,2020,28,65+ yr,null,null
New York,EIP,2020,2020,29,65+ yr,null,null
New York,EIP,2020,2020,30,65+ yr,null,null
New York,EIP,2020,2020,31,65+ yr,null,null
New York,EIP,2020,2020,32,65+ yr,null,null
New York,EIP,2020,2020,33,65+ yr,null,null
New York,EIP,2020,2020,34,65+ yr,null,null
New York,EIP,2020,2020,35,65+ yr,null,null
New York,EIP,2020,2020,36,65+ yr,null,null
New York,EIP,2020,2020,37,65+ yr,null,null
New York,EIP,2020,2020,38,65+ yr,null,null
New York,EIP,2020,2020,39,65+ yr,null,null
New York,EIP,2020,2020,10,65-74 yr,0,0
New York,EIP,2020,2020,11,65-74 yr,3.1,3.1
New York,EIP,2020,2020,12,65-74 yr,7.1,4
New York,EIP,2020,2020,13,65-74 yr,23.1,16
New York,EIP,2020,2020,14,65-74 yr,40.9,17.8
New York,EIP,2020,2020,15,65-74 yr,56.1,15.1
New York,EIP,2020,2020,16,65-74 yr,null,null
New York,EIP,2020,2020,17,65-74 yr,null,null
New York,EIP,2020,2020,18,65-74 yr,null,null
New York,EIP,2020,2020,19,65-74 yr,null,null
New York,EIP,2020,2020,20,65-74 yr,null,null
New York,EIP,2020,2020,21,65-74 yr,null,null
New York,EIP,2020,2020,22,65-74 yr,null,null
New York,EIP,2020,2020,23,65-74 yr,null,null
New York,EIP,2020,2020,24,65-74 yr,null,null
New York,EIP,2020,2020,25,65-74 yr,null,null
New York,EIP,2020,2020,26,65-74 yr,null,null
New York,EIP,2020,2020,27,65-74 yr,null,null
New York,EIP,2020,2020,28,65-74 yr,null,null
New York,EIP,2020,2020,29,65-74 yr,null,null
New York,EIP,2020,2020,30,65-74 yr,null,null
New York,EIP,2020,2020,31,65-74 yr,null,null
New York,EIP,2020,2020,32,65-74 yr,null,null
New York,EIP,2020,2020,33,65-74 yr,null,null
New York,EIP,2020,2020,34,65-74 yr,null,null
New York,EIP,2020,2020,35,65-74 yr,null,null
New York,EIP,2020,2020,36,65-74 yr,null,null
New York,EIP,2020,2020,37,65-74 yr,null,null
New York,EIP,2020,2020,38,65-74 yr,null,null
New York,EIP,2020,2020,39,65-74 yr,null,null
New York,EIP,2020,2020,10,75-84 yr,0.9,0.9
New York,EIP,2020,2020,11,75-84 yr,3.6,2.7
New York,EIP,2020,2020,12,75-84 yr,17,13.5
