Timestamp,CAM OPERATOR BADGE#,SCAN CASE NUMBER,DEFECT CATEGORY,DEFECT DESCRIPTION,LOCATION WHEN DAMAGED WAS NOTICED
3/2/2020 6:52:14,TSCHAFFER,SARA101520007444,LOST / MISSING,MISSING DURING MATCHING,IN CAM
3/2/2020 10:00:53,ABEVELL,ROLO101520006852,BROKEN / CHIPPED / CRACKED,CRACKED,POST CAM
3/2/2020 10:39:19,ABEVELL,ROLO101520007525,BROKEN / CHIPPED / CRACKED,BROKEN,POST CAM
3/2/2020 11:08:36,ABEVELL,ROLO101520007525,BROKEN / CHIPPED / CRACKED,BROKEN,POST CAM
3/2/2020 11:51:18,ABEVELL,ROLO101520007847,MILLING / NESTING ERROR,CHIPPED IN MILL,IN CAM
3/2/2020 12:26:52,ABEVELL,ROLO101520007170,"FIT -- tight, loose, rocks, etc., etc., ...",LOOSE,POST CAM
3/2/2020 12:48:10,ABEVELL,ROLO101520007170,"FIT -- tight, loose, rocks, etc., etc., ...",TIGHT,POST CAM
3/2/2020 15:32:18,DLOPEZ,ROLO101520007522,Redesign / Design related,N/A,POST CAM
3/2/2020 16:49:58,DLOPEZ,ROLO101520006729,Redesign / Design related,REDESIGN THICKER,POST CAM
3/2/2020 16:50:22,DLOPEZ,ROLO101520007726,Redesign / Design related,OCCLUSAL TOO HIGH,POST CAM
3/2/2020 17:07:53,DLOPEZ,ROLO101520007272,CONTOUR / OCCLUSION,N/A,POST CAM
3/2/2020 18:08:25,dlopez,SARA101520006621,CONTOUR / OCCLUSION,n/a,POST CAM
3/2/2020 19:16:49,DLOPEZ,ROLO101520007548,Redesign / Design related,CONTOUR,POST CAM
3/2/2020 19:17:44,dlopez,SARA101520007900,MILLING / NESTING ERROR,broke in mill,IN CAM
3/3/2020 7:47:46,ABEVELL,EMI101520007279,"FIT -- tight, loose, rocks, etc., etc., ...",POOR,POST CAM
3/3/2020 7:48:28,ABEVELL,EMI101520007276,OTHER,MISPRESSED,POST CAM
3/3/2020 8:02:12,TSCHAFFER,ROLO101520006632,BROKEN / CHIPPED / CRACKED,BROKEN AT GREENSTATE,IN CAM
3/3/2020 9:06:29,ABEVELL,SARA101520007870,MILLING / NESTING ERROR,MILLING NOT FINISHING,IN CAM
3/3/2020 9:45:38,ABEVELL,SARA101520007978,MILLING / NESTING ERROR,BROKE DURING MILLING,IN CAM
3/3/2020 10:44:29,TSCHAFFER,ROLO101520007579,BROKEN / CHIPPED / CRACKED,CRACKED,POST CAM
3/3/2020 11:06:59,ABEVELL,ROLO101520007493,MARGIN ISSUE,BAD,POST CAM
